lobbyist_name,full_name
william t. (marty) irby,ed whitfield
edward steiner,sam farr
christopher sullivan,johnny isakson
eli schooley,jerry moran
keith pemrick,tim holden
patrick grant,christopher dodd
patrick grant,joseph lieberman
joseph eannello,kevin yoder
joseph eannello,jerry weller
robert wagener,richard hanna
george callas,paul ryan
paul edattel,john shadegg
melissa mueller,richard neal
melissa mueller,lloyd doggett
lauren broccoli,james langevin
melissa bonicelli,bill archer
joshua m. finestone,mike rogers
joshua m. finestone,tom graves
joshua m. finestone,dean heller
chris fish,alfonse d'amato
javier llano,luis fortuno
lauren baker,rob portman
dawn sears,lee terry
bryan blom,sean duffy
ben turner,james himes
darrel thompson,harry reid
darrel thompson,richard gephardt
drew willison,harry reid
rick desimone,patty murray
greg mitchell,james rogan
jennifer stewart,eddie johnson
jennifer stewart,gregory meeks
ebony simpson,william jefferson
valerie nelson,jim ramstad
valerie nelson,eric cantor
chris fetzer,elizabeth dole
ryan smith,jon kyl
szu-nien su,edward royce
szu-nien su,donald manzullo
valerie west,gordon smith
matt hermann,madeleine bordallo
alan hill,cliff stearns
amy tejral,ben nelson
elizabeth barnett,blanche lincoln
mike chappell,roger wicker
mike chappell,charles pickering
aleix jarvis,lindsey graham
aleix jarvis,charles taylor
kate hull,tim hutchinson
billy piper,mitch mcconnell
tyler stephens,johnny isakson
tyler stephens,saxby chambliss
eric zulkosky,steve scalise
eric zulkosky,mike johanns
matt hill,gordon smith
arturo estopinan,ileana ros-lehtinen
craig felner,kay hutchison
michaela sims,ben nelson
edward prettyman,thomas carper
david whitestone,frank wolf
richard oliver schwab,david schweikert
aimee ghosh,louise slaughter
christopher wilcox,daniel moynihan
christopher wilcox,michael arcuri
ryan grillo,chuck hagel
kristin herrmann,mike dewine
kristin herrmann,jay dickey
james derderian,tom bliley
erin strawn,curt weldon
valerie henry,greg walden
valerie henry,john warner
valerie henry,mike crapo
a bradford card,john sweeney
john ray,mike kelly
maria price,kirsten gillibrand
tracey laturner,jim bunn
jesse barba,marcia fudge
bobby cornett,trent franks
matthew knoedler,dan schaefer
j. allen martin,bob livingston
cheryl jaeger,fernand st
racher miller,dianne feinstein
jay driscoll,max baucus
jeff strunk,john boehner
dan mcfaul,joe scarborough
benjamin dunham,frank lautenberg
robert a. russell,mark pryor
kyle simmons,mitch mcconnell
zach rudisill,rob portman
zach rudisill,david reichert
zach rudisill,dave camp
sally vastola,thomas reynolds
christopher scott fay,david cicilline
christopher scott fay,edward kennedy
patrick brennan,john spratt
patrick brennan,kay hagan
catharine ransom,bob graham
catharine ransom,max baucus
mark h. rayder,tom latham
mark h. rayder,rodney frelinghuysen
mark h. rayder,dean gallo
jessica tocco,luis gutierrez
dave myers,pete domenici
jake perry,harry reid
amy lombardo,michael simpson
amy lombardo,larry craig
jorge castro,stephanie jones
jorge castro,john rockefeller
jeffrey mortier,ed whitfield
jeffrey mortier,devin nunes
jeffery mackinnon,joe barton
clark fonda,robert pittenger
joe trauger,sam johnson
joe trauger,rod grams
gregg rothschild,john kerry
gina foote,ted poe
brian griffin,byron dorgan
daniel meyer,vin weber
daniel meyer,newt gingrich
anne wall,richard durbin
anne bradbury,charles boustany
anne bradbury,john boehner
kerry o'hare,peter king
sarah hamlett,thelma drake
tony bullock,daniel moynihan
paul reagan,jim webb
clint lohse,michael enzi
cody hoefer,steve russell
heather mchugh,steve israel
heather mchugh,nydia velazquez
robert freeman,ed whitfield
david beaudreau,sherrod brown
jeffrey ziarko,sander levin
anjulen anderson,steve buyer
anjulen anderson,mary bono
megan herber,doris matsui
chris matthiesen,nancy pelosi
roosevelt daniels,sheila jackson
patricia reilly,tim holden
stephanie kenann,ron wyden
erika long,jim davis
erika long,bart stupak
jane sargent,john lewis
chris caron,tom cole
w. roger gwinn,vic fazio
luis baco,jenniffer gonzalez-colon
luis baco,luis fortuno
luis baco,carlos romero-barcelo
surya gunasekara,james renacci
randy devalk,harry reid
paul poteet,john thune
paul poteet,wally herger
paul poteet,rick santorum
paul poteet,richard baker
nick sutter,maria cantwell
alexander silbey,james clyburn
emily murry,ken calvert
emily murry,tom price
shelley landry,walter minnick
stephen ruhlen,henry bonilla
stephen ruhlen,pete olson
stephen ruhlen,lee terry
stephen ruhlen,kay granger
shane skelton,robert latta
mervyn jones,joseph crowley
mervyn jones,tim ryan
carlyle thorsen,tom delay
laura uttley,jack reed
ben mcmakin,patty murray
paul cambon,bob livingston
brian glackin,thad cochran
james gauthier,judd gregg
geoff werth,bart stupak
leighanna comstock,david reichert
daniel muroff,michael capuano
john thomas,scott taylor
caitlin berni,steve scalise
pat boulisman,max baucus
jim twaddell,arlen specter
olivia neistat,john larson
jeff sadosky,rob portman
jeff sadosky,kay hutchison
jeff sadosky,mike dewine
francesca mccrary,elijah cummings
dan tate,hillary clinton
nancy fox,rodney frelinghuysen
nancy fox,marge roukema
nancy fox,silvio conte
michael s scrivner,norman lent
peter a leon,eliot engel
brian darling,rand paul
david quinalty,john ensign
todd womack,bob corker
brent wiles,bob corker
brent wiles,lamar alexander
john goetz,bob corker
brent heberlee,richard bryan
gordon taylor,christopher john
sherry widicus,ron kind
richard hoar,gus bilirakis
christine pellerin,henry bonilla
regina mahony,steny hoyer
drew cantor,sue kelly
michael j. bell,orrin hatch
susan zook,mike crapo
mary beth savary taylor,connie mack
stacey hughes,connie mack
rachel jones hensler,fred thompson
rachel jones hensler,dave durenberger
michael drobac,gordon smith
geoffrey gradler,richard shelby
geoffrey gradler,phil gramm
steven crane,barbara mikulski
hazen marshall,mitch mcconnell
hazen marshall,don nickles
monica popp,john cornyn
monica popp,jim demint
darrin munoz,christopher john
allen bradford card,john sweeney
angie melton,jesse jackson
oscar ramirez,hilda solis
oscar ramirez,al green
oscar ramirez,joe baca
dana thompson,maxine waters
dana thompson,sheila jackson
katherine raab,mary bono
katherine raab,elton gallegly
katherine raab,michael bilirakis
john richter,michelle lujan
john richter,wayne grisham
john richter,robert casey
david lesstrang (no contact with approps comm.),jerry lewis
sheila murphy,ben nelson
sheila murphy,thomas carper
jason s mckitrick,john kasich
greg mccannell,wally herger
thomas o'donnell,richard gephardt
micah johnson,bob corker
menda fife,edward kennedy
menda fife,dianne feinstein
menda fife,corrine brown
menda fife,tom harkin
robert carey,george allen
robert carey,spencer abraham
leonard collins,marco rubio
julie nolan,patrick meehan
julie nolan,richard lugar
mariah sixkiller,steny hoyer
lindsey tonsager,thomas daschle
craig kalkut,kent conrad
michaeleen earle crowell,denise majette
michaeleen earle crowell,john lewis
andrew kent,charles dent
andrew kent,tom marino
andrew kent,louie gohmert
tod preston,rod blagojevich
tod preston,nita lowey
kerry o'brien,william keating
kerry o'brien,bill delahunt
alissa wilcox clees,ben nelson
matthew hoffmann,fernand st
matthew hoffmann,david vitter
matthew hoffmann,paul ryan
kevin talley,matt gaetz
jason everett,melvin watt
robert harris,barney frank
robert harris,g. butterfield
anne urban,john kerry
michael mchugh,gordon smith
sara barba,mike coffman
art estopinan,ileana ros-lehtinen
joshua kardon,ron wyden
rodney whitlock,charles norwood
patrick cuff,stevan pearce
angela flood,mark souder
doug nappi,suzanne kosmas
doug nappi,nick lampson
harriet melvin,charles hatcher
joseph rubin,george gekas
joseph rubin,steve chabot
gregory m. gill,steny hoyer
joe trauger,roy blunt
joe trauger,richard armey
lindley sherer,elise stefanik
lindley sherer,scott tipton
lindley sherer,todd rokita
bonnie walker armstrong,bennie thompson
carmencita whonder,charles schumer
devon seibert-bailey,marge roukema
christopher delacy,john warner
kristina dunklin,david valadao
maura keefe,jeanne shaheen
maura keefe,rosa delauro
sarah mae stevens,benjamin cardin
sarah mae stevens,matt cartwright
sarah mae stevens,russ carnahan
jennifer carrier,tom harkin
nat bell,robert andrews
john weinfurter,john moakley
mimi simoneaux kneuer,w. tauzin
shawna francis  watley,j. kerrey
alison esquea,john kerry
tucker shumack,olympia snowe
chris giblin,john carter
andrew tharp,mo brooks
mitch butler,scott mcinnis
zach israel,robert menendez
zach israel,scott murphy
zach israel,rush holt
katherine keating,joseph crowley
katherine keating,allyson schwartz
emily emery,tom harkin
elizabeth spivey,trent lott
ryan welch,kelly ayotte
randal meyer,rand paul
michael drobac,kay hutchison
casey stokes,patrick mchenry
casey stokes,renee ellmers
edward hill,g. butterfield
nichole distefano,claire mccaskill
kristen o'neill,g. butterfield
joshua h. raymond,darlene hooley
joshua h. raymond,christopher murphy
nicholas d. choate,claire mccaskill
nicholas d. choate,karen mccarthy
nicholas d. choate,dan boren
nicholas d. choate,jim costa
nicholas d. choate,bart stupak
jeremy scott,mike dewine
martin cancienne,w. tauzin
virgil miller,edolphus towns
virgil miller,john dingell
virgil miller,cedric richmond
caryn dyson,john breaux
byron brown,james inhofe
byron brown,doc hastings
aleta greer,suzan delbene
aleta greer,joe garcia
hope hurley,craig james
hope hurley,jim webb
